ID,Age,Sex,Job,Housing,Saving_accounts,Checking_accounts,Credit_amount,Duration,Purpose,Risk
111,23,female,2,rent,little,rich,392,15,education,1
112,28,male,1,rent,little,moderate,6260,18,car,1
113,25,female,2,own,little,NA,7855,36,car,0
114,35,male,2,own,quiet rich,little,1680,12,radio/TV,1
115,47,male,2,own,NA,NA,3578,48,radio/TV,1
116,30,female,3,own,NA,little,7174,42,radio/TV,0
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,1
118,23,female,2,own,quiet rich,little,4281,33,furniture/equipment,0
119,36,male,3,own,quiet rich,moderate,2366,12,car,1
120,25,female,2,own,little,little,1835,21,radio/TV,0
121,41,female,3,rent,little,NA,3868,24,car,1
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,1
123,63,male,2,free,little,rich,781,10,car,1
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,0
125,30,male,2,own,little,little,2121,12,car,1
126,40,male,1,own,little,little,701,12,radio/TV,1
127,30,male,2,own,little,moderate,639,12,repairs,0
128,34,male,3,own,little,moderate,1860,12,car,1
129,29,female,2,own,little,little,3499,12,car,0
130,24,female,2,own,NA,moderate,8487,48,car,1
131,29,male,2,own,little,little,6887,36,education,0
132,27,male,1,own,little,NA,2708,15,furniture/equipment,1
133,47,male,2,free,little,NA,1984,18,furniture/equipment,1
134,21,female,2,own,moderate,NA,10144,60,radio/TV,1
135,38,female,2,own,NA,NA,1240,12,radio/TV,1
136,27,male,2,own,rich,NA,8613,27,car,1
137,66,male,1,own,quiet rich,moderate,766,12,radio/TV,0
138,35,male,2,own,NA,moderate,2728,15,radio/TV,1
139,44,female,1,rent,little,rich,1881,12,radio/TV,1
140,27,male,0,own,rich,rich,709,6,car,1
141,30,female,3,own,little,moderate,4795,36,radio/TV,1
142,27,male,3,own,little,little,3416,27,radio/TV,1
143,22,male,2,own,little,little,2462,18,furniture/equipment,0
144,23,female,2,own,little,NA,2288,21,furniture/equipment,1
145,30,male,2,own,moderate,moderate,3566,48,business,1
146,39,female,2,own,little,little,860,6,car,1
147,51,female,2,own,moderate,NA,682,12,car,1
148,28,male,2,own,little,little,5371,36,furniture/equipment,1
149,46,male,2,own,rich,NA,1582,18,radio/TV,1
150,42,male,2,free,moderate,NA,1346,6,radio/TV,1
151,38,male,2,own,little,NA,1924,10,radio/TV,1
152,24,male,2,own,little,rich,5848,36,radio/TV,1
153,29,female,2,rent,rich,moderate,7758,24,car,1
154,36,male,3,rent,moderate,moderate,6967,24,business,1
155,20,female,2,rent,little,little,1282,12,furniture/equipment,0
156,48,male,2,own,moderate,little,1288,9,repairs,1
157,45,male,1,own,little,little,339,12,education,1
158,38,male,2,own,moderate,moderate,3512,24,car,1
159,34,male,1,own,NA,NA,1898,6,radio/TV,1
160,36,male,2,own,moderate,NA,2872,24,radio/TV,1
161,30,female,2,own,little,NA,1055,18,car,1
162,36,male,2,own,quiet rich,NA,1262,15,domestic appliances,1
163,70,male,3,free,little,moderate,7308,10,car,1
164,36,male,2,own,quiet rich,NA,909,36,car,1
165,32,male,2,own,quiet rich,NA,2978,6,furniture/equipment,1
166,33,female,2,own,little,little,1131,18,furniture/equipment,0
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,1
168,25,female,2,rent,little,NA,3972,24,furniture/equipment,1
169,31,male,2,own,little,moderate,1935,24,business,0
170,33,male,2,rent,little,little,950,15,car,0
171,26,female,2,own,little,NA,763,12,furniture/equipment,1
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,0
173,33,male,2,own,little,moderate,1414,8,radio/TV,1
174,26,male,2,own,little,little,3414,21,education,0
175,53,female,3,own,NA,NA,7485,30,car,0
176,42,male,2,own,little,little,2577,12,furniture/equipment,1
177,52,male,2,own,quiet rich,little,338,6,radio/TV,1
178,31,male,3,rent,little,NA,1963,12,radio/TV,1
179,65,male,2,own,little,little,571,21,car,1
180,28,male,2,own,little,NA,9572,36,business,0
181,30,male,3,own,little,moderate,4455,36,business,0
182,40,male,1,own,NA,little,1647,21,car,0
183,50,male,2,own,rich,NA,3777,24,furniture/equipment,1
184,36,male,2,own,little,moderate,884,18,car,0
185,31,male,2,own,little,NA,1360,15,radio/TV,1
186,74,female,3,free,little,moderate,5129,9,car,0
187,68,male,0,free,little,moderate,1175,16,car,1
188,20,male,2,own,moderate,little,674,12,radio/TV,0
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,1
190,54,male,3,own,rich,NA,4591,24,business,0
191,34,male,1,free,moderate,moderate,3844,48,business,0
192,36,male,2,own,little,moderate,3915,27,business,0
193,29,male,2,rent,little,NA,2108,6,radio/TV,1
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,0
195,34,female,3,own,little,moderate,1501,9,education,0
196,28,female,2,own,little,NA,1382,6,radio/TV,1
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,0
198,36,male,2,free,NA,moderate,2760,24,car,1
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,0
200,52,male,2,own,quiet rich,NA,936,9,education,1
201,27,male,1,own,little,little,1168,12,car,1
202,26,male,2,own,little,NA,5117,27,business,1
203,21,male,2,rent,little,little,902,12,education,0
204,38,male,1,own,little,NA,1495,12,car,1
205,38,male,3,free,little,little,10623,30,car,1
206,43,male,2,own,little,NA,1935,12,furniture/equipment,1
207,26,male,2,own,little,moderate,1424,12,domestic appliances,1
208,21,male,1,own,little,little,6568,24,business,1
209,55,male,2,own,rich,NA,1413,12,car,1
210,33,male,2,own,NA,NA,3074,9,radio/TV,1
211,45,female,1,own,NA,NA,3835,36,radio/TV,1
212,50,male,2,own,little,little,5293,27,business,0
213,66,male,3,own,little,rich,1908,30,business,0
214,51,male,2,own,NA,NA,3342,36,radio/TV,1
215,39,female,1,own,NA,moderate,932,6,education,1
216,31,male,2,own,little,little,3104,18,business,1
217,23,male,2,own,little,rich,3913,36,radio/TV,1
218,24,male,1,rent,little,little,3021,24,furniture/equipment,1
219,64,female,2,own,little,NA,1364,10,car,1
220,26,male,1,own,little,moderate,625,12,radio/TV,1
221,23,female,2,rent,NA,little,1200,12,education,1
222,30,male,2,own,little,NA,707,12,radio/TV,1
223,32,male,2,own,NA,NA,2978,24,business,1
224,30,male,2,own,little,NA,4657,15,car,1
225,27,male,2,own,little,NA,2613,36,repairs,1
226,27,male,2,own,rich,moderate,10961,48,radio/TV,0
227,53,male,3,free,little,little,7865,12,furniture/equipment,0
228,22,male,2,own,little,NA,1478,9,radio/TV,0
229,22,male,2,free,little,little,3149,24,furniture/equipment,1
230,26,male,2,own,little,rich,4210,36,radio/TV,0
231,51,male,1,free,quiet rich,NA,2507,9,car,1
232,35,male,2,own,moderate,NA,2141,12,radio/TV,1
233,25,male,1,own,little,moderate,866,18,radio/TV,1
234,42,male,1,own,little,NA,1544,4,radio/TV,1
235,30,male,3,own,little,little,1823,24,radio/TV,0
236,23,male,0,own,NA,moderate,14555,6,car,0
237,61,male,1,rent,moderate,moderate,2767,21,business,0
238,35,female,2,own,little,NA,1291,12,radio/TV,1
239,39,male,2,own,little,little,2522,30,radio/TV,1
240,29,female,2,own,NA,little,915,24,car,0
241,51,male,2,own,little,NA,1595,6,radio/TV,1
242,24,male,2,free,little,little,4605,48,car,0
243,27,female,2,own,little,NA,1185,12,business,1
244,35,female,1,own,quiet rich,NA,3447,12,education,1
245,25,male,2,own,little,NA,1258,24,business,1
246,52,male,2,own,little,NA,717,12,radio/TV,1
247,35,male,2,rent,moderate,NA,1204,6,car,1
248,26,male,2,own,little,rich,1925,24,furniture/equipment,1
249,22,female,2,rent,little,NA,433,18,radio/TV,0
250,39,female,1,own,rich,little,666,6,car,1
251,46,female,1,own,little,rich,2251,12,furniture/equipment,1
252,24,female,2,own,little,moderate,2150,30,car,0
253,35,male,2,own,moderate,NA,4151,24,furniture/equipment,1
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment,1
255,27,male,1,own,NA,moderate,7418,60,radio/TV,1
256,35,male,1,own,little,NA,2684,24,radio/TV,1
257,29,male,2,free,little,little,2149,12,radio/TV,0
258,23,female,2,own,moderate,NA,3812,15,car,1
259,57,female,1,own,moderate,NA,1154,11,radio/TV,1
260,27,male,2,own,little,little,1657,12,furniture/equipment,1
261,55,female,2,own,little,little,1603,24,radio/TV,1
262,36,male,3,free,little,little,5302,18,car,1
263,57,female,1,free,little,NA,2748,12,education,1
264,32,male,1,own,little,NA,1231,10,car,1
265,37,male,2,own,little,moderate,802,15,radio/TV,0
266,36,male,2,own,NA,NA,6304,36,business,1
267,38,female,2,own,little,NA,1533,24,radio/TV,1
268,45,male,3,own,little,little,8978,14,car,0
269,25,male,2,own,NA,NA,999,24,radio/TV,1
270,32,male,2,own,NA,NA,2662,18,car,1
271,37,female,2,rent,quiet rich,NA,1402,12,furniture/equipment,1
272,36,male,3,free,NA,moderate,12169,48,car,1
273,28,male,2,own,little,moderate,3060,48,radio/TV,0
274,34,male,1,own,little,little,11998,30,repairs,0
275,32,male,2,own,little,NA,2697,9,radio/TV,1
276,26,female,2,own,little,NA,2404,18,radio/TV,1
277,49,male,1,own,NA,little,1262,12,furniture/equipment,1
278,32,female,2,own,little,NA,4611,6,furniture/equipment,0
279,29,male,3,rent,moderate,NA,1901,24,radio/TV,1
280,23,male,2,rent,rich,NA,3368,15,car,1
281,50,male,2,own,little,NA,1574,12,furniture/equipment,1
282,49,male,1,own,NA,rich,1445,18,radio/TV,1
283,63,male,2,own,NA,NA,1520,15,furniture/equipment,1
284,37,male,2,own,moderate,moderate,3878,24,car,1
285,35,female,1,own,little,little,10722,47,car,1
286,26,male,2,own,little,little,4788,48,car,1
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,1
288,49,female,2,own,little,moderate,1092,12,radio/TV,1
289,48,male,2,own,little,little,1024,24,radio/TV,0
290,26,male,2,own,little,NA,1076,12,business,1
291,28,male,3,rent,little,moderate,9398,36,car,0
292,44,female,3,free,little,little,6419,24,car,1
293,56,male,2,free,little,rich,4796,42,car,1
294,46,male,3,own,NA,NA,7629,48,business,1
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,0
296,20,female,2,rent,NA,NA,4675,12,car,1
297,45,male,1,own,NA,NA,1287,10,car,1
298,43,male,2,own,little,NA,2515,18,furniture/equipment,1
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,1
300,54,female,0,own,little,NA,672,6,car,1
301,42,female,2,own,little,moderate,3804,36,radio/TV,0
302,37,male,1,own,NA,rich,1344,24,car,0
303,49,male,2,own,little,little,1038,10,car,1
304,44,male,2,free,quiet rich,NA,10127,48,car,0
305,33,male,2,own,rich,NA,1543,6,furniture/equipment,1
306,24,female,1,rent,NA,NA,4811,30,car,1
307,33,male,1,own,moderate,little,727,12,radio/TV,0
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,0
309,22,male,1,rent,little,moderate,276,9,car,1
310,40,male,0,free,NA,moderate,5381,48,vacation/others,1
311,25,male,2,own,moderate,NA,5511,24,furniture/equipment,1
312,26,female,2,own,little,rich,3749,24,furniture/equipment,1
313,25,male,1,own,little,moderate,685,12,car,0
314,29,male,1,own,NA,rich,1494,4,car,1
315,31,male,2,own,little,little,2746,36,furniture/equipment,0
316,38,male,1,own,little,little,708,12,furniture/equipment,1
317,48,female,1,own,NA,moderate,4351,24,furniture/equipment,1
318,32,male,2,own,little,NA,701,12,education,1
319,27,female,1,own,little,little,3643,15,furniture/equipment,1
320,28,male,3,own,little,moderate,4249,30,car,0
321,32,male,2,own,little,little,1938,24,radio/TV,0
322,34,male,3,free,little,little,2910,24,car,1
323,28,male,2,own,rich,little,2659,18,furniture/equipment,1
324,36,female,2,own,little,NA,1028,18,car,1
325,39,male,1,own,little,little,3398,8,car,1
326,49,male,2,rent,NA,NA,5801,12,furniture/equipment,1
327,34,female,2,own,rich,NA,1525,24,car,1
328,31,male,2,own,little,rich,4473,36,radio/TV,1
329,28,male,2,own,little,moderate,1068,6,radio/TV,1
330,75,male,3,free,little,little,6615,24,car,1
331,30,female,2,own,moderate,NA,1864,18,education,0
332,24,female,3,own,moderate,moderate,7408,60,car,0
333,24,female,1,rent,moderate,NA,11590,48,car,0
334,23,male,2,rent,little,little,4110,24,furniture/equipment,0
335,44,male,3,rent,little,little,3384,6,furniture/equipment,0
336,23,female,1,own,little,moderate,2101,13,radio/TV,1
337,24,female,2,rent,NA,little,1275,15,domestic appliances,0
338,28,male,2,own,little,little,4169,24,furniture/equipment,1
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,1
340,24,female,2,free,little,moderate,5743,24,education,1
341,26,female,1,rent,little,little,3599,21,furniture/equipment,1
342,25,male,2,rent,quiet rich,moderate,3213,18,radio/TV,1
343,33,male,3,own,little,moderate,4439,18,business,1
344,37,male,1,own,little,rich,3949,10,car,1
345,43,female,1,own,little,NA,1459,15,radio/TV,1
346,23,male,2,own,little,moderate,882,13,radio/TV,1
347,23,female,0,rent,quiet rich,moderate,3758,24,radio/TV,1
348,34,male,1,own,moderate,NA,1743,6,business,1
349,32,male,2,free,rich,moderate,1136,9,education,0
350,23,female,2,rent,little,NA,1236,9,domestic appliances,1
351,29,female,2,own,little,moderate,959,9,furniture/equipment,0
352,38,male,3,own,NA,NA,3229,18,car,1
353,28,male,2,rent,little,little,6199,12,radio/TV,0
354,46,male,2,free,quiet rich,NA,727,10,education,1
355,23,male,1,own,little,moderate,1246,24,car,0
356,49,male,2,own,NA,NA,2331,12,radio/TV,1
357,26,male,3,own,little,NA,4463,36,radio/TV,0
358,28,male,2,own,little,NA,776,12,radio/TV,1
359,23,female,2,rent,little,little,2406,30,furniture/equipment,0
360,61,male,2,free,NA,moderate,1239,18,education,1
361,37,male,3,own,NA,rich,3399,12,radio/TV,1
362,36,female,2,own,little,rich,2247,12,car,1
363,21,male,2,rent,little,NA,1766,6,furniture/equipment,1
364,25,male,0,own,little,little,2473,18,furniture/equipment,0
365,36,male,2,own,little,NA,1542,12,business,1
366,27,male,2,own,little,NA,3850,18,car,1
367,22,female,2,rent,little,little,3650,18,furniture/equipment,1
368,42,male,2,own,little,little,3446,36,furniture/equipment,0
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,1
370,36,male,2,own,NA,NA,3079,36,car,1
371,33,male,2,own,little,NA,6070,18,radio/TV,1
372,23,female,2,rent,little,NA,2146,10,furniture/equipment,1
373,63,male,3,free,NA,NA,13756,60,car,1
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,0
375,37,female,2,rent,little,little,7685,48,business,0
376,34,male,2,own,little,NA,2320,18,radio/TV,1
377,36,male,2,free,NA,NA,846,7,radio/TV,1
378,57,male,3,free,little,moderate,14318,36,car,0
379,52,female,1,own,moderate,NA,362,6,car,1
380,39,male,2,own,NA,little,2212,20,furniture/equipment,1
381,38,female,3,free,little,moderate,12976,18,car,0
382,25,female,2,rent,NA,NA,1283,22,car,1
383,26,male,2,own,little,rich,1330,12,car,1
384,26,male,1,own,moderate,NA,4272,30,business,1
385,25,female,2,own,little,NA,2238,18,radio/TV,1
386,21,female,2,rent,NA,NA,1126,18,radio/TV,1
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,1
388,27,male,2,own,quiet rich,moderate,2326,15,business,1
389,27,female,2,own,little,NA,1449,9,business,1
390,30,male,3,own,little,NA,1820,18,car,1
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,1
392,39,male,3,free,little,little,3249,36,car,1
393,31,female,2,own,little,little,1957,6,radio/TV,1
394,31,male,3,own,little,NA,2406,9,furniture/equipment,1
395,32,male,2,rent,moderate,moderate,11760,39,education,1
396,55,female,3,free,little,little,2578,12,furniture/equipment,1
397,46,male,2,own,little,little,2348,36,furniture/equipment,1
398,46,male,2,rent,little,moderate,1223,12,car,0
399,43,female,1,own,rich,NA,1516,24,radio/TV,1
400,39,male,2,own,little,NA,1473,18,radio/TV,1
401,28,male,2,own,NA,moderate,1887,18,business,1
402,27,male,2,own,little,NA,8648,24,business,0
403,27,male,1,own,little,NA,802,14,car,1
404,43,male,2,own,NA,moderate,2899,18,car,1
405,22,male,2,own,little,moderate,2039,24,radio/TV,0
406,43,male,2,own,NA,NA,2197,24,car,1
407,27,male,2,own,little,little,1053,15,radio/TV,1
408,26,male,3,own,quiet rich,NA,3235,24,radio/TV,1
409,28,male,2,own,quiet rich,rich,939,12,car,0
410,20,female,2,own,little,moderate,1967,24,radio/TV,1
411,35,male,3,own,little,NA,7253,33,car,1
412,42,male,3,own,little,NA,2292,12,business,0
413,40,male,1,rent,quiet rich,NA,1597,10,car,1
414,35,female,2,own,NA,little,1381,24,car,0
415,35,male,2,own,little,NA,5842,36,car,1
416,33,male,1,own,little,little,2579,12,car,0
417,23,female,2,rent,NA,little,8471,18,education,1
418,31,female,3,own,quiet rich,NA,2782,21,car,1
419,33,female,2,own,NA,moderate,1042,18,car,0
420,20,female,2,rent,rich,NA,3186,15,car,1
421,30,male,2,own,NA,moderate,2028,12,car,1
422,47,male,1,own,little,moderate,958,12,car,1
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment,1
424,25,female,2,own,NA,moderate,2762,12,furniture/equipment,0
425,21,male,2,rent,little,moderate,2779,18,car,1
426,29,male,2,own,little,NA,2743,28,radio/TV,1
427,46,male,2,own,rich,NA,1149,18,radio/TV,1
428,20,male,2,own,little,NA,1313,9,furniture/equipment,1
429,55,female,0,free,little,little,1190,18,repairs,0
430,74,male,1,own,little,NA,3448,5,business,1
431,29,male,3,own,little,moderate,11328,24,vacation/others,0
432,36,male,3,free,little,little,1872,6,furniture/equipment,1
433,33,male,2,own,little,NA,2058,24,repairs,1
434,25,male,2,own,little,little,2136,9,furniture/equipment,1
435,25,male,2,own,NA,moderate,1484,12,radio/TV,0
436,23,male,1,rent,quiet rich,NA,660,6,repairs,1
437,37,female,2,own,rich,NA,1287,24,car,1
438,65,male,0,own,little,little,3394,42,repairs,1
439,26,female,0,own,little,rich,609,12,business,0
440,39,male,3,own,little,NA,1884,12,car,1
441,30,female,2,own,little,little,1620,12,furniture/equipment,1
442,29,male,2,own,little,moderate,2629,20,vacation/others,1
443,41,male,1,own,little,NA,719,12,education,0
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,0
445,41,female,1,rent,NA,NA,1244,9,education,1
446,34,female,2,own,little,little,1842,36,car,0
447,35,male,2,own,little,moderate,2576,7,radio/TV,1
448,55,female,3,own,NA,rich,1424,12,furniture/equipment,1
449,61,male,2,own,rich,moderate,1512,15,repairs,0
450,30,male,3,own,NA,NA,11054,36,car,1
451,29,female,2,own,little,NA,518,6,radio/TV,1
452,34,male,2,own,little,NA,2759,12,furniture/equipment,1
453,35,male,3,own,little,NA,2670,24,car,1
454,31,male,2,own,little,little,4817,24,car,0
455,29,female,3,own,little,NA,2679,24,car,1
456,36,male,2,rent,little,little,3905,11,car,1
457,35,male,2,free,little,little,3386,12,car,0
458,27,female,2,own,little,little,343,6,domestic appliances,1
459,32,male,2,own,little,NA,4594,18,radio/TV,1
460,37,male,2,own,little,little,3620,36,furniture/equipment,1
461,36,male,2,own,little,little,1721,15,car,1
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,1
463,38,male,2,own,NA,moderate,754,12,education,1
464,34,male,2,own,little,NA,1950,18,business,1
465,63,male,2,own,little,little,2924,24,car,1
466,29,female,1,rent,little,little,1659,24,radio/TV,0
467,32,male,2,own,NA,NA,7238,48,radio/TV,1
468,26,female,2,own,little,NA,2764,33,business,1
469,35,male,1,own,little,NA,4679,24,car,1
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,0
471,23,female,2,own,little,little,448,6,education,0
472,28,male,1,own,little,little,654,9,car,0
473,36,male,3,own,NA,NA,1238,6,education,1
474,33,male,2,own,little,moderate,1245,18,radio/TV,0
475,26,female,2,rent,little,little,3114,18,furniture/equipment,0
476,24,male,2,own,quiet rich,NA,2569,39,car,1
477,25,male,2,own,little,rich,5152,24,radio/TV,1
478,39,male,1,own,moderate,moderate,1037,12,business,1
479,44,male,2,own,little,little,1478,15,furniture/equipment,1
480,23,female,1,own,little,moderate,3573,12,radio/TV,1
481,26,male,2,own,little,moderate,1201,24,car,1
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,1
483,30,female,2,own,rich,NA,960,15,furniture/equipment,1
484,44,male,2,own,quiet rich,NA,1163,12,car,1
485,47,male,3,own,little,moderate,1209,6,car,0
486,52,male,2,own,little,NA,3077,12,radio/TV,1
487,62,female,2,free,little,NA,3757,24,car,1
488,35,male,1,rent,moderate,NA,1418,10,car,1
489,26,male,2,rent,little,NA,3518,6,car,1
490,26,male,2,own,little,NA,1934,12,radio/TV,1
491,42,female,3,free,little,moderate,8318,27,business,0
492,27,female,2,own,moderate,NA,1237,6,radio/TV,1
493,38,male,2,own,NA,moderate,368,6,radio/TV,1
494,39,male,1,rent,little,little,2122,12,car,1
495,20,male,2,own,NA,little,2996,24,furniture/equipment,0
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,0
497,40,male,2,own,little,NA,1585,24,furniture/equipment,1
498,32,male,1,own,little,moderate,1301,18,radio/TV,1
499,28,male,2,own,moderate,rich,1323,6,car,1
500,27,female,2,own,little,little,3123,24,car,0
501,42,male,2,free,little,little,5493,36,car,1
502,49,male,2,own,moderate,rich,1126,9,radio/TV,1
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,0
504,24,female,2,rent,little,little,1207,24,car,0
505,27,male,1,own,NA,NA,1309,10,car,0
506,36,male,2,own,quiet rich,rich,2360,15,car,1
507,34,male,3,own,moderate,moderate,6850,15,car,0
508,28,male,2,own,little,NA,1413,24,radio/TV,1
509,45,male,3,own,moderate,NA,8588,39,car,1
